Found focus mDHFR as sequence 23266
23266 valid sequences out of 23266 
186 sites out of 186
Effective number of samples: 13585.6	(80% identical neighborhood = 1.000 samples)
iter	time	cond	fx	-loglk	||h||	||e||
46	110.0	199.62	2121747.3	1803229.9	106.7	91.1
47	112.4	97.32	2117666.7	1797083.6	106.7	91.4
48	114.8	88.73	2114376.9	1790523.0	106.7	91.9
49	117.2	91.50	2111756.5	1784667.6	106.6	92.4
50	119.5	244.87	2109906.5	1774841.2	106.4	93.5
51	121.9	79.53	2104984.3	1767983.6	106.4	93.8
52	124.2	62.88	2103533.5	1766887.0	106.4	93.8
53	126.6	79.24	2101260.0	1763649.6	106.3	93.9
54	129.1	133.74	2098854.8	1757319.5	106.2	94.5
55	131.6	74.20	2096264.9	1751532.6	106.2	94.9
56	133.9	60.65	2094361.9	1746971.9	106.1	95.3
57	136.3	106.32	2092673.4	1742180.9	106.0	95.8
58	138.6	67.03	2091033.0	1738790.3	105.9	96.0
59	140.9	55.45	2089636.6	1736582.1	105.9	96.1
60	143.2	80.49	2088073.1	1734215.5	105.8	96.2
61	145.6	84.40	2086627.4	1730966.0	105.8	96.5
62	147.9	53.96	2085458.4	1729224.5	105.7	96.6
63	150.2	49.95	2084112.7	1726437.8	105.7	96.8
64	152.5	74.54	2083469.7	1724465.4	105.6	97.0
65	154.9	51.76	2082704.8	1722910.8	105.5	97.1
66	157.4	42.85	2081460.4	1719891.0	105.4	97.3
67	159.8	67.67	2080839.0	1718008.3	105.4	97.5
68	162.2	50.49	2080052.0	1716060.5	105.3	97.7
69	164.6	46.44	2079098.5	1713509.5	105.2	97.9
70	167.0	56.58	2078541.9	1712248.2	105.2	98.0
71	169.2	40.91	2078049.2	1711636.5	105.1	98.0
72	171.5	41.31	2077134.3	1709780.0	105.1	98.1
73	173.8	58.05	2076749.2	1708389.5	105.0	98.3
74	176.1	38.61	2076339.4	1707532.5	104.9	98.3
75	178.4	29.24	2075664.4	1705448.7	104.8	98.5
76	180.8	35.88	2075356.9	1704333.6	104.8	98.6
77	183.1	29.89	2074874.7	1702489.7	104.7	98.8
78	185.5	54.35	2074477.5	1700893.8	104.6	99.0
79	188.1	27.94	2074028.4	1699796.1	104.5	99.1
80	190.6	24.68	2073758.7	1699440.1	104.5	99.1
81	193.1	32.99	2073481.1	1698900.0	104.4	99.1
82	195.4	39.26	2073236.0	1697994.3	104.3	99.2
83	197.8	24.65	2073003.9	1697348.5	104.3	99.3
84	200.1	21.94	2072741.6	1696155.5	104.2	99.4
85	202.4	30.14	2072569.1	1695270.2	104.1	99.5
86	204.7	23.47	2072335.5	1694192.5	104.0	99.6
87	207.1	44.62	2072122.4	1692737.8	103.9	99.8
88	209.5	20.08	2071888.8	1691997.5	103.8	99.9
89	211.8	18.02	2071775.5	1691924.8	103.8	99.9
90	214.1	27.93	2071551.6	1691309.0	103.8	99.9
91	216.5	45.11	2071473.6	1690218.9	103.6	100.1
92	219.0	18.66	2071306.0	1690063.4	103.6	100.1
93	221.5	13.35	2071201.5	1689592.3	103.6	100.1
94	223.9	16.77	2071094.1	1688815.1	103.5	100.2
95	226.3	22.39	2070921.2	1687652.6	103.3	100.3
96	230.5	24.67	2070809.5	1686553.2	103.2	100.5
97	232.8	13.90	2070704.6	1686020.3	103.1	100.5
98	235.2	14.83	2070624.3	1685744.5	103.1	100.6
99	237.5	20.74	2070538.1	1685360.8	103.0	100.6
100	239.8	15.21	2070442.4	1684929.0	103.0	100.7
101	242.2	16.53	2070346.6	1684489.9	102.9	100.7
102	244.6	20.37	2070267.8	1683864.3	102.8	100.8
103	247.1	13.46	2070201.4	1683665.0	102.8	100.8
104	249.5	12.03	2070116.6	1683204.4	102.7	100.9
105	251.9	17.53	2070061.9	1682755.6	102.6	100.9
106	254.2	12.97	2069984.8	1682136.0	102.5	101.0
107	256.6	20.06	2069911.5	1681418.9	102.3	101.1
108	258.9	14.66	2069853.4	1680890.9	102.2	101.1
109	261.4	10.18	2069815.0	1680913.9	102.2	101.1
110	263.7	9.92	2069749.4	1680777.5	102.2	101.1
111	266.1	19.92	2069710.0	1680322.6	102.1	101.2
112	268.4	12.78	2069661.6	1680071.7	102.0	101.2
113	270.7	9.99	2069591.1	1679476.6	101.8	101.3
114	273.0	11.51	2069551.5	1679127.3	101.8	101.4
115	275.3	14.93	2069482.8	1678456.8	101.5	101.4
116	277.4	14.33	2069432.7	1678265.8	101.5	101.5
117	279.8	10.64	2069391.2	1678294.2	101.5	101.4
118	282.2	11.40	2069339.9	1678284.7	101.4	101.4
119	284.5	15.99	2069309.1	1678154.7	101.3	101.5
120	286.9	8.91	2069275.6	1677992.1	101.3	101.5
121	289.1	8.34	2069240.8	1677687.9	101.2	101.5
122	291.3	10.00	2069208.0	1677423.6	101.0	101.6
123	293.6	23.22	2069167.6	1676717.8	100.7	101.6
124	295.8	9.87	2069110.5	1676554.1	100.6	101.7
125	298.1	9.26	2069082.8	1676543.6	100.6	101.7
126	300.3	12.18	2069033.0	1676343.2	100.5	101.7
127	302.6	26.24	2069013.1	1675916.4	100.2	101.7
128	305.1	10.46	2068960.8	1675809.5	100.2	101.8
129	307.4	8.29	2068933.3	1675656.6	100.1	101.8
130	309.6	10.36	2068899.1	1675368.2	99.9	101.8
131	311.9	17.09	2068846.1	1674940.8	99.6	101.9
132	314.3	14.79	2068790.9	1674332.3	99.2	102.0
133	316.5	9.44	2068746.3	1674263.0	99.1	102.0
134	318.8	12.51	2068689.9	1674187.4	99.0	102.0
135	321.3	14.28	2068643.2	1674013.8	98.9	102.0
136	323.6	18.34	2068586.3	1673623.6	98.4	102.0
137	326.0	10.85	2068532.7	1673450.1	98.3	102.1
138	328.4	11.19	2068483.6	1673286.2	98.1	102.1
139	330.9	13.41	2068432.5	1673093.7	97.9	102.1
140	333.2	25.20	2068391.1	1672780.5	97.4	102.2
141	335.6	11.01	2068332.1	1672723.1	97.4	102.2
142	337.9	10.67	2068296.0	1672695.5	97.3	102.2
143	340.2	13.13	2068244.7	1672599.6	97.1	102.2
144	342.5	21.35	2068157.2	1672368.1	96.6	102.2
145	344.8	24.95	2068103.8	1672105.6	95.9	102.2
146	347.1	12.03	2068038.8	1672036.6	95.9	102.2
147	349.4	11.40	2067991.8	1671969.3	95.8	102.3
148	351.9	15.13	2067936.1	1671863.1	95.5	102.3
149	354.2	29.38	2067875.2	1671699.9	94.8	102.3
150	356.4	14.09	2067795.5	1671576.7	94.5	102.3
Gradient optimization: MAXIMUMITERATION
